column,contract_dtype,contract_dtype_normalized,pandas_dtype,pandas_dtype_normalized,dtype_match,coercion_failures,is_in_contract,is_in_dataframe,ml_role,nullable_in_contract
account_id,object,object,string,object,True,0,True,True,entity_id,False
extender_bh_retransmissions_rate_5_avg_1h,float64,float64,float64,float64,True,0,True,True,wireless_backhaul_instability_feature,True
extender_bh_uplink_rssi_5_avg_1h,float64,float64,float64,float64,True,0,True,True,wireless_backhaul_signal_feature,True
extender_client_associations_sum_1h,int64,int64,Int64,int64,True,0,True,True,extender_topology_feature,True
extender_cpu_avg_1h,float64,float64,float64,float64,True,0,True,True,extender_operational_feature,True
extender_device_count_1h,int64,int64,Int64,int64,True,0,True,True,topology_feature,True
extender_memory_utilization_avg_1h,float64,float64,float64,float64,True,0,True,True,extender_memory_feature,True
gateway_ap_steering_no_response_sum_1h,int64,int64,Int64,int64,True,0,True,True,wifi_instability_feature,True
gateway_ap_steering_requests_sum_1h,int64,int64,Int64,int64,True,0,True,True,wifi_orchestration_feature,True
gateway_ap_steering_succ_rate_avg_1h,float64,float64,float64,float64,True,0,True,True,wifi_quality_feature,True
gateway_band_steering_no_response_sum_1h,int64,int64,Int64,int64,True,0,True,True,wifi_instability_feature,True
gateway_band_steering_requests_sum_1h,int64,int64,Int64,int64,True,0,True,True,wifi_orchestration_feature,True
gateway_band_steering_succ_rate_avg_1h,float64,float64,float64,float64,True,0,True,True,wifi_quality_feature,True
gateway_bandwidth_automatic_change_24_sum_1h,int64,int64,Int64,int64,True,0,True,True,bandwidth_instability_feature,True
gateway_channel_automatic_change_24_sum_1h,int64,int64,Int64,int64,True,0,True,True,channel_instability_feature,True
gateway_client_associations_sum_1h,int64,int64,Int64,int64,True,0,True,True,topology_pressure_feature,True
gateway_cpu_avg_1h,float64,float64,float64,float64,True,0,True,True,gateway_operational_feature,True
gateway_memory_utilization_avg_1h,float64,float64,float64,float64,True,0,True,True,gateway_memory_feature,True
gateway_noise_band_avg_1h,float64,float64,float64,float64,True,0,True,True,noise_environment_feature,True
gateway_temperature_avg_1h,float64,float64,float64,float64,True,0,True,True,gateway_thermal_feature,True
gateway_tx_op_band_avg_1h,float64,float64,float64,float64,True,0,True,True,rf_quality_feature,True
has_eth_backhaul,int64,int64,Int64,int64,True,0,True,True,topology_binary_feature,True
has_extender,int64,int64,Int64,int64,True,0,True,True,topology_binary_feature,True
has_wireless_backhaul,int64,int64,Int64,int64,True,0,True,True,topology_binary_feature,True
level_distinct_ipaddress_count_1h,int64,int64,Int64,int64,True,0,True,True,network_instability_feature,True
level_distinct_proxy_count_1h,int64,int64,Int64,int64,True,0,True,True,network_instability_feature,True
level_distinct_serials_count_1h,int64,int64,Int64,int64,True,0,True,True,device_instability_feature,True
level_rxlevel_avg_1h,float64,float64,float64,float64,True,0,True,True,signal_quality_feature,True
level_rxlevel_range_1h,float64,float64,float64,float64,True,0,True,True,signal_instability_feature,True
model_split_ds,object,object,string,object,True,0,True,True,dataset_partition,True
scoring_ts,datetime64[ns],datetime64[ns],"datetime64[us, UTC]",datetime64[ns],True,0,True,True,temporal_reference,False
target_user_reboot_12h,int64,int64,Int64,int64,True,0,True,True,target,True
