bucket,rows,positives,avg_score,pos_rate,lift,cum_rows,cum_positives,cum_pop_pct,cum_gain_pct,cum_lift
1,1261674,505180,0.4363253082564714,0.4004045419022664,1.580152953322028,1261674,505180,0.10000007133385026,0.15801540805059697,1.580152953322028
2,1261673,414115,0.3283889151964039,0.3282268860473356,1.2953116887320062,2523347,919295,0.2000000634078669,0.2875465666571787,1.4377323774681774
3,1261673,450208,0.2950925875417616,0.3568341400664039,1.408207103728817,3785020,1369503,0.3000000554818835,0.42836726586863433,1.4278906221552439
4,1261673,340944,0.2648534066366721,0.2702316685860758,1.0664398739554113,5046693,1710447,0.4000000475559002,0.5350112448115908,1.3375279530106123
5,1261673,320126,0.24349304154292128,0.25373135511340894,1.0013231823696853,6308366,2030573,0.5000000396299168,0.6351435551120884,1.2702870095414398
6,1261673,302887,0.2284617549293502,0.2400677513111559,0.9474012568126514,7570039,2333460,0.6000000317039335,0.729883673284267,1.2164727245288278
7,1261673,276519,0.21458094892227964,0.21916851672342993,0.8649247017289536,8831712,2609979,0.7000000237779501,0.8163761366017835,1.1662515841010166
8,1261673,241238,0.19668826851466853,0.1912048526044387,0.7545691442385127,10093385,2851217,0.8000000158519667,0.8918330450449323,1.1147912842166225
9,1261673,176552,0.1732845799848421,0.1399348325596252,0.5522375892421505,11355058,3027769,0.9000000079259833,0.9470567995921214,1.0522853236130283
10,1261673,169261,0.152791701980527,0.13415599763171598,0.5294320460414815,12616731,3197030,1.0,1.0,1.0
